Entry	Entry Name	Gene Names (primary)	Protein names	Length		Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)	PubMed ID	Domain [CC]
P38988	GGC1_YEAST	GGC1	Mitochondrial GTP/GDP carrier protein 1	300		cellular iron ion homeostasis [GO:0006879]; guanine nucleotide transport [GO:0001408]; mitochondrial genome maintenance [GO:0000002]; transmembrane transport [GO:0055085]	guanine nucleotide transmembrane transporter activity [GO:0001409]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	8905928; 8896272; 9169867; 24374639; 17322287; 14576278; 14629196; 14998997; 22814378	
P37303	GLY1_YEAST	GLY1	Low specificity L-threonine aldolase (Low specificity L-TA) (TA) (EC 4.1.2.48)	387		glycine biosynthetic process [GO:0006545]; threonine catabolic process [GO:0006567]	L-allo-threonine aldolase activity [GO:0008732]; threonine aldolase activity [GO:0004793]	cytosol [GO:0005829]	8132653; 9169868; 24374639; 9151955; 9163906; 14562106; 12872131; 14557538; 15665377; 17330950; 18407956; 19779198; 22814378; 22106047	
P00950	PMG1_YEAST	GPM1	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	247		gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	phosphoglycerate mutase activity [GO:0004619]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	6127696; 2831102; 1834353; 8091859; 8196765; 24374639; 8462867; 9509572; 1386023; 8240286; 14562095; 14562106; 16962558; 16823961; 17330950; 17287358; 18407956; 19779198; 22984289; 22814378; 22106047; 6115412; 9512715; 10531478; 10064712; 10369755	
P15454	KGUA_YEAST	GUK1	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	187		GDP biosynthetic process [GO:0046711]; phosphorylation [GO:0016310]; purine nucleotide metabolic process [GO:0006163]	ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	1334480; 9169867; 24374639; 2551688; 14562106; 17330950; 17287358; 18407956; 19779198; 1967656; 1314905	
P46655	SYEC_YEAST	GUS1	Glutamate--tRNA ligase, cytoplasmic (EC 6.1.1.17) (Glutamyl-tRNA synthetase) ((c)ERS) (GluRS) (P85)	708		glutamyl-tRNA aminoacylation [GO:0006424]; methionyl-tRNA aminoacylation [GO:0006431]	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; methionyl glutamyl tRNA synthetase complex [GO:0017102]; mitochondrion [GO:0005739]	8750240; 9169869; 24374639; 8972578; 8895587; 9659920; 11726524; 11069915; 12748633; 14562095; 14562106; 18407956; 19417106; 22814378; 17139087; 16914447	
P02309	H4_YEAST	HHF1; HHF2	Histone H4	103		chromatin organization [GO:0006325]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; nucleosome assembly [GO:0006334]; positive regulation of transcription by RNA polymerase I [GO:0045943]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; RNA polymerase I upstream activating factor complex [GO:0000500]	6355483; 6310494; 7813418; 9169873; 24374639; 17322287; 7002547; 9391047; 14562106; 17287358; 18407956; 19113941; 19779198; 22389435; 27105113; 31542297; 11080160; 11566884; 15150415; 16768447; 16631569; 17289592; 21412236; 22020126	
P61830	H3_YEAST	HHT1; HHT2	Histone H3	136		chromatin organization [GO:0006325]; global genome nucleotide-excision repair [GO:0070911]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; positive regulation of transcription by RNA polymerase I [GO:0045943]; regulation of DNA-templated transcription [GO:0006355]; rRNA transcription [GO:0009303]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	CENP-A containing nucleosome [GO:0043505]; nucleosome [GO:0000786]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; RNA polymerase I upstream activating factor complex [GO:0000500]	6355483; 7813418; 9169873; 24374639; 17322287; 7035169; 15059259; 782914; 17189264; 16260619; 9391047; 9606197; 10082517; 10975519; 10777603; 10911986; 11742990; 11751634; 11545749; 12080090; 12097318; 11839797; 12152067; 12353038; 11752412; 12629047; 12773564; 12917322; 14562106; 12574507; 12845608; 15719021; 15632126; 15888442; 16185711; 15949446; 16168379; 15798214; 16015338; 16122352; 17194708; 17320445; 19113941; 22389435; 27105113; 27089029; 11566884	
P13663	DHAS_YEAST	HOM2	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	365		homoserine biosynthetic process [GO:0009090]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	2570346; 9169867; 24374639; 17322287; 14562106; 17330950; 18407956; 19779198; 22814378	
P10869	AK_YEAST	HOM3	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)	527		homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088]	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]	2892836; 2168408; 9169868; 24374639; 14562106; 17330950; 17287358; 18407956; 19779198	
P19882	HSP60_YEAST	HSP60	Heat shock protein 60, mitochondrial (CPN60) (P66) (Stimulator factor I 66 kDa component)	572		'de novo' protein folding [GO:0006458]; apoptotic mitochondrial changes [GO:0008637]; chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial unfolded protein response [GO:0034514]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; chaperone binding [GO:0051087]; DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	2575559; 2563898; 9169871; 24374639; 1408806; 11502169; 14690591; 17761666; 18407956	
P02829	HSP82_YEAST	HSP82	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	709		'de novo' protein folding [GO:0006458]; box C/D snoRNP assembly [GO:0000492]; cellular response to heat [GO:0034605]; positive regulation of telomere maintenance via telomerase [GO:0032212]; proteasome assembly [GO:0043248]; protein folding [GO:0006457]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein targeting to mitochondrion [GO:0006626]; regulation of telomere maintenance [GO:0032204]; response to osmotic stress [GO:0006970]; response to oxygen levels [GO:0070482]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	6325446; 9169875; 24374639; 2674684; 8419347; 8248264; 7929182; 7791797; 8939862; 9296388; 9817749; 9632755; 9632766; 9819421; 10480867; 10567567; 10786835; 10944121; 10664467; 12504007; 14562095; 14562106; 18256191; 18407956; 9187656; 9230303; 12667448; 14718169; 14739935; 15039704; 19696785; 9925731; 17114002; 16461354; 16625188; 18357975; 19236053	DOMAIN: The TPR repeat-binding motif mediates interaction with TPR repeat-containing proteins like the co-chaperones AHA1, CDC37, CNS1, CPR6, CPR7, HCH1, SBA1, SSE1 and STI1. CNS1, CPR6, CPR7 and STI1.
P23585	HXT2_YEAST	HXT2	High-affinity glucose transporter HXT2	541		carbohydrate transport [GO:0008643]; glucose transmembrane transport [GO:1904659]	carbohydrate:proton symporter activity [GO:0005351]; fructose transmembrane transporter activity [GO:0005353]; glucose transmembrane transporter activity [GO:0005355]; mannose transmembrane transporter activity [GO:0015578]; pentose transmembrane transporter activity [GO:0015146]	cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]; plasma membrane [GO:0005886]	2233722; 9169872; 24374639; 16847258; 17330950; 18407956; 19779198; 22814378	
P28834	IDH1_YEAST	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	360		glutamate biosynthetic process [GO:0006537]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; RNA binding [GO:0003723]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	1644826; 9169873; 24374639; 2198251; 7505425; 14562106	
P28241	IDH2_YEAST	IDH2	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	369		glutamate biosynthetic process [GO:0006537]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; RNA binding [GO:0003723]	mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962]; mitochondrion [GO:0005739]	1939242; 8904341; 9200815; 9169874; 24374639; 2198251; 7505425; 11502169; 14562106; 17761666; 18407956; 19779198	
P21954	IDHP_YEAST	IDP1	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	428		glutamate biosynthetic process [GO:0006537]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; NADP metabolic process [GO:0006739]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	1989987; 9169867; 24374639	
P07342	ILVB_YEAST	ILV2	Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)	687		branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	acetolactate synthase complex [GO:0005948]; mitochondrion [GO:0005739]	2989783; 9169872; 24374639; 17322287; 10213630; 14562106; 11902841; 12496246	
P38697	IMDH2_YEAST	IMD2	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)	523		GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	chromatin binding [GO:0003682]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]	chromatin [GO:0000785]; cytoplasm [GO:0005737]	8091229; 24374639; 14562095; 14562106; 12746440; 15292516; 16278936	
P32899	IMP3_YEAST	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (Interacting with MPP10 protein 3)	183		maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	rRNA binding [GO:0019843]; snoRNA binding [GO:0030515]; structural constituent of ribosome [GO:0003735]	90S preribosome [GO:0030686]; Mpp10 complex [GO:0034457]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]; small-subunit processome [GO:0032040]	8358820; 8091229; 24374639; 17322287; 10409734; 12068309; 15489263	
P00817	IPYR_YEAST	IPP1	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	287		phosphate-containing compound metabolic process [GO:0006796]	inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	2849749; 7813418; 24374639; 17322287; 340461; 7895733; 8935650; 1322842; 6101539; 14562106; 15665377; 17330950; 18407956; 19779198; 22106047; 8994974; 9878371; 2160278	
P35844	KES1_YEAST	KES1	Oxysterol-binding protein homolog 4 (Bypass SECl4 recessive protein 3) (KRE11-1 suppressor protein 1) (Protein KES1) (Oxysterol-binding protein-related protein 4) (ORP 4) (OSBP-related protein 4)	434		endocytosis [GO:0006897]; ER to Golgi ceramide transport [GO:0035621]; exocytosis [GO:0006887]; maintenance of cell polarity [GO:0030011]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of phosphatase activity [GO:0010922]; post-Golgi vesicle-mediated transport [GO:0006892]; sphingolipid metabolic process [GO:0006665]; sterol transport [GO:0015918]	lipid binding [GO:0008289]; oxysterol binding [GO:0008142]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]; sterol transporter activity [GO:0015248]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]	8017104; 8948103; 9169875; 24374639; 17322287; 8978672; 11238399; 11916983; 14562106; 15173322; 16585271; 17220896; 18407956; 20008566; 19779198; 24213531; 25849868; 26206936; 29487131; 16136145; 22162133; 23756172	DOMAIN: The OSBP-related domain (ORD) mediates binding of sterols and phospholipids. It displays an incomplete beta-barrel containing a central hydrophobic tunnel that can accommodate a single lipid molecule with a flexible lid covering the tunnel entrance. The ORD can bind two membranes simultaneously. It has at least two membrane-binding surfaces; one near the mouth of the lipid-binding pocket and a distal site that can bind a second membrane. These structural features correlate with the phosphatidylinositol 4-phosphate (PI(4)P)-coupled lipid transport optimized in closely apposed membranes, such as organelle contact sites. The lipid transfer cycle starts from the association of the LTP with a donor membrane, which accompanies conformational changes that uncover the ligand-binding pocket. The tunnel opening is generally mediated by displacement of the lid covering the binding pocket allowing uptake or release of a lipid molecule. The LTPs extract the lipid from the membrane by providing a hydrophobic environment as well as specific interaction. Dissociation from the donor membrane shifts the conformation to a closed form. Then, the LTPs loaded with a cargo lipid diffuse through the aqueous phase. Lid opening may be induced by the interaction of a hydrophobic side of the lid with the target membranes. {ECO:0000269|PubMed:16136145, ECO:0000269|PubMed:20008566, ECO:0000269|PubMed:22162133}.; DOMAIN: The ArfGAP1 lipid packing sensor (ALPS) motif is a membrane-binding motif that is sensitive to curvature. {ECO:0000269|PubMed:17220896}.
P07264	LEUC_YEAST	LEU1	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	779		leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	3-isopropylmalate dehydratase complex [GO:0009316]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]	1840714; 9169869; 24374639; 6323436; 1882553; 14562106; 17330950; 17287358; 18407956; 19779198; 22814378	
P06208	LEU1_YEAST	LEU4	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	619		leucine biosynthetic process [GO:0009098]	2-isopropylmalate synthase activity [GO:0003852]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]	2420798; 8701612; 9169873; 24374639; 8446029; 3275644; 10790691; 14562106; 22814378	
P38998	LYS1_YEAST	LYS1	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	373		lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	mRNA binding [GO:0003729]; saccharopine dehydrogenase (NAD+, L-lysine-forming) activity [GO:0004754]	cytoplasm [GO:0005737]; peroxisome [GO:0005777]	9169870; 24374639; 418069; 6769500; 4287986; 4318475; 378997; 6985909; 6771291; 3123231; 10077615; 15696628; 14562106; 17002315; 22814378; 26928762; 28928432; 17939687; 17854830; 22243403	
P17505	MDHM_YEAST	MDH1	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	334		aerobic respiration [GO:0009060]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	L-malate dehydrogenase activity [GO:0030060]; mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	3072021; 8196765; 24374639; 17322287; 3552052; 11502169; 14562106; 17761666; 19779198	
P06106	CYSD_YEAST	MET17	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	444		cysteine biosynthetic process [GO:0019344]; methionine metabolic process [GO:0006555]; transsulfuration [GO:0019346]	cysteine synthase activity [GO:0004124]; O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	3022238; 9169871; 24374639; 17322287; 7765825; 8511969; 8935650; 4947307; 4609980; 795806; 795807; 3299001; 1781681; 1732168; 11914276; 12586406; 17330950; 18407956; 22106047	
Q99257	MEX67_YEAST	MEX67	mRNA export factor MEX67	599		mRNA export from nucleus [GO:0006406]; nuclear export [GO:0051168]; poly(A)+ mRNA export from nucleus [GO:0016973]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]; transmembrane transport [GO:0055085]	mRNA binding [GO:0003729]; porin activity [GO:0015288]; RNA binding [GO:0003723]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U4 snRNA binding [GO:0030621]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nuclear RNA export factor complex [GO:0042272]; nucleus [GO:0005634]	8948103; 9169875; 24374639; 9214641; 10952996; 14562106; 22814378; 12835756	DOMAIN: The leucine-rich repeats and the NTF2-domain are essential for the export of mRNA from the nucleus. {ECO:0000250}.; DOMAIN: The NTF2 domain heterodimerizes with MTR2. The formation of this heterodimer is essential for mRNA export and binds to all of the nucleoporin-FG-repeats.; DOMAIN: The RNA-binding domain is conserved in most NXF proteins but may be absent in yeasts.
P40850	MKT1_YEAST	MKT1	Post-transcriptional regulator MKT1 (Inactive endonuclease MKT1)	830		cellular response to DNA damage stimulus [GO:0006974]; positive regulation of translation [GO:0045727]; regulation of mating type switching [GO:0031494]; regulation of translation [GO:0006417]	5'-flap endonuclease activity [GO:0017108]; endodeoxyribonuclease activity [GO:0004520]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear periphery [GO:0034399]; P-body [GO:0000932]; polysome [GO:0005844]	7532890; 11907579; 16273108; 8740422; 9169873; 24374639; 14562106; 15082763; 15665377; 17330950; 18407956; 22814378; 22106047	
P53141	MLC1_YEAST	MLC1	Myosin light chain 1 (Calmodulin-like myosin light chain MLC1) (Myosin-2 light chain)	149		mitotic actomyosin contractile ring assembly [GO:1903475]; protein localization to cell division site involved in mitotic actomyosin contractile ring assembly [GO:1903476]; regulation of actomyosin contractile ring contraction [GO:0031991]; regulation of cell wall organization or biogenesis [GO:1903338]; regulation of cytokinesis [GO:0032465]; septum digestion after cytokinesis [GO:0000920]; vesicle targeting [GO:0006903]; vesicle transport along actin filament [GO:0030050]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; myosin II heavy chain binding [GO:0032038]; myosin V binding [GO:0031489]	cellular bud neck [GO:0005935]; cellular bud neck contractile ring [GO:0000142]; cellular bud tip [GO:0005934]; MIH complex [GO:0120155]; myosin II complex [GO:0016460]; myosin V complex [GO:0031475]; plasma membrane [GO:0005886]; site of polarized growth [GO:0030427]; vesicle [GO:0031982]	9046090; 9169869; 24374639; 9700160; 10873803; 11082046; 12456647; 15210731; 22106047; 12351846; 12554638	
Q02046	MTD1_YEAST	MTD1	Methylenetetrahydrofolate dehydrogenase [NAD(+)] (EC 1.5.1.15)	320		folic acid-containing compound biosynthetic process [GO:0009396]; one-carbon metabolic process [GO:0006730]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]	methylenetetrahydrofolate dehydrogenase (NAD+) activity [GO:0004487]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]	cytosol [GO:0005829]; nucleus [GO:0005634]	8416923; 8196765; 24374639; 8203164; 2223762; 14562095; 14562106; 10933503	
P38205	NCL1_YEAST	NCL1	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase (EC 2.1.1.202) (Multisite-specific tRNA:m5C-methyltransferase) (tRNA (cytosine-5-)-methyltransferase NCL1) (tRNA methyltransferase 4)	684		cellular response to hydrogen peroxide [GO:0070301]; regulation of metabolic process [GO:0019222]; regulation of translation [GO:0006417]; RNA methylation [GO:0001510]; tRNA methylation [GO:0030488]; tRNA modification [GO:0006400]; tRNA wobble base cytosine methylation [GO:0002127]	methyltransferase activity [GO:0008168]; tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7725803; 7813418; 24374639; 9767141; 10445884; 14562106; 18407956; 19779198	
P32497	EIF3C_YEAST	NIP1	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 93 kDa subunit) (eIF3 p93) (Nuclear transport protein NIP1) (Translation initiation factor eIF3, p93 subunit)	812		formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; multi-eIF complex [GO:0043614]	1332047; 9169872; 24374639; 7798228; 9722586; 9671501; 10075937; 12651896; 14562106; 16581774; 17330950; 18407956; 18599441; 19779198	
P14907	NSP1_YEAST	NSP1	Nucleoporin NSP1 (Nuclear pore protein NSP1) (Nucleoskeletal-like protein) (p110)	823		cell cycle [GO:0007049]; ncRNA export from nucleus [GO:0097064]; NLS-bearing protein import into nucleus [GO:0006607]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]; RNA export from nucleus [GO:0006405]; tRNA export from nucleus [GO:0006409]	molecular adaptor activity [GO:0060090]; phospholipid binding [GO:0005543]; structural constituent of nuclear pore [GO:0017056]	nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore nuclear basket [GO:0044615]	3072197; 8641269; 24374639; 2112428; 9017593; 9774653; 9461539; 9843582; 9891088; 10889207; 10684247; 10952996; 11387327; 11739405; 11352936; 11689687; 14562106; 12604785; 15039779; 12791264; 18407956; 19779198; 25646085; 12372823	DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side. {ECO:0000269|PubMed:2112428}.
P32499	NUP2_YEAST	NUP2	Nucleoporin NUP2 (Nuclear pore protein NUP2) (p95)	720		mRNA export from nucleus in response to heat stress [GO:0031990]; NLS-bearing protein import into nucleus [GO:0006607]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein export from nucleus [GO:0006611]; protein localization to nuclear inner membrane [GO:0036228]; silent mating-type cassette heterochromatin formation [GO:0030466]; subtelomeric heterochromatin formation [GO:0031509]; transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000972]	importin-alpha family protein binding [GO:0061676]; small GTPase binding [GO:0031267]; structural constituent of nuclear pore [GO:0017056]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; NLS-dependent protein nuclear import complex [GO:0042564]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; nuclear pore nuclear basket [GO:0044615]	8443417; 9169871; 24374639; 10525531; 10684247; 11046143; 11387327; 11425876; 11535617; 12372823; 12543930; 12062099; 11867631; 12917401; 14562106; 12604785; 14514698; 15039779; 12791264; 17330950; 17287358; 18407956; 19779198; 14532109	DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side: FXFG repeats are especially abundant in NUPs on the nucleoplasmic side (in a highly charged environment and enriched in Ser and Thr).
P32332	OAC1_YEAST	OAC1	Mitochondrial oxaloacetate transport protein (Mitochondrial carrier protein PMT)	324		isopropylmalate transport [GO:0034659]; oxaloacetate transport [GO:0015729]; sulfate transport [GO:0008272]	isopropylmalate transmembrane transporter activity [GO:0034658]; malonate(1-) transmembrane transporter activity [GO:1901239]; oxaloacetate transmembrane transporter activity [GO:0015131]; sulfate transmembrane transporter activity [GO:0015116]; transmembrane transporter activity [GO:0022857]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	10428783; 1514329; 8196765; 24374639; 14562106	
