Gene Name	Protein Domain	Protein domain description	Protein start location	Protein End location	Method	Domain ID
FMS1	PF01593	Flavin containing amine oxidoreductase; Amine oxidase	18	503	Pfam	2123844
FMT1	PF00551	Formyl transferase; Formyl transferase, N-terminal	31	232	Pfam	2114996
FMT1	PF02911	Formyl transferase, C-terminal domain; Formyl transferase, C-terminal	275	385	Pfam	2088546
FOL1	PF00809	Pterin binding enzyme; Pterin-binding domain	507	804	Pfam	2125290
FOL1	PF01288	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK); 7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	301	434	Pfam	2125291
FOL1	PF02152	Dihydroneopterin aldolase; Dihydroneopterin aldolase/epimerase domain	24	125	Pfam	2125292
FOL1	PF02152	Dihydroneopterin aldolase; Dihydroneopterin aldolase/epimerase domain	149	255	Pfam	2125293
FOL2	PF01227	GTP cyclohydrolase I; GTP cyclohydrolase I domain	62	238	Pfam	2123921
FOL3	PF08245	Mur ligase middle domain; Mur ligase, central	29	246	Pfam	2131468
FOX2	PF00106	short chain dehydrogenase; Short-chain dehydrogenase/reductase SDR	11	195	Pfam	2126370
FOX2	PF00106	short chain dehydrogenase; Short-chain dehydrogenase/reductase SDR	323	512	Pfam	2126371
FOX2	PF01575	MaoC like domain; MaoC-like dehydratase domain	776	887	Pfam	2126372
FPK1	PF00069	Protein kinase domain; Protein kinase domain	496	777	Pfam	2125153
FPR1	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase; FKBP-type peptidyl-prolyl cis-trans isomerase domain	20	111	Pfam	2110949
FPR2	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase; FKBP-type peptidyl-prolyl cis-trans isomerase domain	39	129	Pfam	2114245
FPR3	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase; FKBP-type peptidyl-prolyl cis-trans isomerase domain	319	407	Pfam	2119262
FPR3	PF17800	Nucleoplasmin-like domain; Nucleoplasmin-like domain	10	162	Pfam	2099799
FPR4	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase; FKBP-type peptidyl-prolyl cis-trans isomerase domain	301	389	Pfam	2128642
FPR4	PF17800	Nucleoplasmin-like domain; Nucleoplasmin-like domain	10	164	Pfam	2099636
FPS1	PF00230	Major intrinsic protein; Major intrinsic protein	245	527	Pfam	2111921
FPY1	PF00994	Probable molybdopterin binding domain; MoaB/Mog domain	7	175	Pfam	2126920
FRA1	PF00557	Metallopeptidase family M24; Peptidase M24	466	680	Pfam	2129403
FRA1	PF01321	Creatinase/Prolidase N-terminal domain; Creatinase, N-terminal	108	268	Pfam	2129404
FRA1	PF16188	C-terminal region of peptidase_M24; Peptidase M24, C-terminal domain	687	749	Pfam	2129405
FRA1	PF16189	Creatinase/Prolidase N-terminal domain	282	460	Pfam	2129406
FRD1	PF00890	FAD binding domain; FAD-dependent oxidoreductase 2, FAD binding domain	6	451	Pfam	2114801
FRE1	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	261	374	Pfam	2115020
FRE1	PF08022	FAD-binding domain; FAD-binding 8	413	519	Pfam	2115021
FRE1	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	528	665	Pfam	2115022
FRE2	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	280	396	Pfam	2098933
FRE2	PF08022	FAD-binding domain; FAD-binding 8	431	532	Pfam	2116646
FRE2	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	537	690	Pfam	2116647
FRE3	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	280	395	Pfam	2104802
FRE3	PF08022	FAD-binding domain; FAD-binding 8	431	532	Pfam	2129861
FRE3	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	537	690	Pfam	2129862
FRE4	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	273	389	Pfam	2125174
FRE4	PF08022	FAD-binding domain; FAD-binding 8	425	524	Pfam	2125175
FRE4	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	530	698	Pfam	2125176
FRE5	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	274	389	Pfam	2129867
FRE5	PF08022	FAD-binding domain; FAD-binding 8	425	525	Pfam	2129868
FRE5	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	531	673	Pfam	2129869
FRE6	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	287	402	Pfam	2131283
FRE6	PF08022	FAD-binding domain; FAD-binding 8	442	543	Pfam	2131284
FRE6	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	550	691	Pfam	2131285
FRE7	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	161	280	Pfam	2130922
FRE7	PF08022	FAD-binding domain; FAD-binding 8	327	414	Pfam	2130923
FRE7	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	423	595	Pfam	2130924
FRE8	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	119	232	Pfam	2130574
FRK1	PF00069	Protein kinase domain; Protein kinase domain	43	313	Pfam	2126688
FRM2	PF00881	Nitroreductase family; Nitroreductase	11	153	Pfam	2089965
FRQ1	PF13499	EF-hand domain pair; EF-hand domain	98	171	Pfam	2128741
FRQ1	PF13833	EF-hand domain pair; EF-hand domain	40	89	Pfam	2128742
FRS1	PF03483	B3/4 domain; B3/B4 tRNA-binding domain	104	267	Pfam	2110035
FRS1	PF03484	tRNA synthetase B5 domain; tRNA synthetase, B5-domain	297	365	Pfam	2110036
FRS1	PF17759	Phenylalanyl tRNA synthetase beta chain CLM domain; Phenylalanyl tRNA synthetase beta chain, core domain	382	590	Pfam	2098520
FRS1	PF18262	Phe-tRNA synthetase beta subunit B1 domain; Phenylalanine--tRNA ligase beta subunit, B1 domain	1	79	Pfam	2098517
FRS2	PF01409	tRNA synthetases class II core domain (F); Phenylalanyl-tRNA synthetase	213	484	Pfam	2110045
FRS2	PF18553	PheRS DNA binding domain 3; PheRS, DNA binding domain 3	70	125	Pfam	2093237
FRS2	PF18554	PheRS DNA binding domain 2; PheRS DNA binding domain 2	136	168	Pfam	2093242
FRT1	PF13694	Sec63/Sec62 complex-interacting family; High pH protein family	139	303	Pfam	2105014
FRT2	PF13694	Sec63/Sec62 complex-interacting family; High pH protein family	86	278	Pfam	2088243
FSF1	PF03820	Sideroflexins; Tricarboxylate/iron carrier	10	327	Pfam	2104712
FSH1	PF03959	Serine hydrolase (FSH1); Serine hydrolase FSH	2	229	Pfam	2118807
FSH2	PF03959	Serine hydrolase (FSH1); Serine hydrolase FSH	2	214	Pfam	2128047
FSH3	PF03959	Serine hydrolase (FSH1); Serine hydrolase FSH	1	221	Pfam	2131841
FTH1	PF03239	Iron permease FTR1 family; Iron permease FTR1/Fip1/EfeU	8	404	Pfam	2118064
FTR1	PF03239	Iron permease FTR1 family; Iron permease FTR1/Fip1/EfeU	8	320	Pfam	2120822
FUI1	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin; Purine-cytosine permease	119	575	Pfam	2117821
FUM1	PF00206	Lyase; Fumarate lyase, N-terminal	36	367	Pfam	2107844
FUM1	PF10415	Fumarase C C-terminus; Fumarase C, C-terminal	433	485	Pfam	2107845
FUN12	PF00009	Elongation factor Tu GTP binding domain; Translational (tr)-type GTP-binding domain	407	616	Pfam	2120109
FUN12	PF03144	Elongation factor Tu domain 2; Translation elongation factor EFTu-like, domain 2	644	719	Pfam	2120110
FUN12	PF11987	Translation-initiation factor 2; Translation initiation factor IF- 2, domain 3	750	843	Pfam	2088258
FUN14	PF04930	FUN14 family; FUN14	107	166	Pfam	2088253
FUN19	PF04433	SWIRM domain; SWIRM domain	334	404	Pfam	2113157
FUN26	PF01733	Nucleoside transporter; Equilibrative nucleoside transporter	180	510	Pfam	2113656
FUN30	PF00176	SNF2 family N-terminal domain; SNF2-related, N-terminal domain	585	880	Pfam	2113649
FUN30	PF00271	Helicase conserved C-terminal domain; Helicase, C-terminal	950	1063	Pfam	2113650
FUR1	PF14681	Uracil phosphoribosyltransferase	13	214	Pfam	2110637
FUR4	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin; Purine-cytosine permease	103	562	Pfam	2106831
FUS1	PF00018	SH3 domain; SH3 domain	443	484	Pfam	2109232
FUS2	PF00621	RhoGEF domain; Dbl homology (DH) domain	116	299	Pfam	2101581
FUS3	PF00069	Protein kinase domain; Protein kinase domain	14	309	Pfam	2110374
FYV10	PF10607	CTLH/CRA C-terminal to LisH motif domain; CTLH/CRA C-terminal to LisH motif domain	189	392	Pfam	2096439
FYV4	PF09597	IGR protein motif; IGR protein motif	43	96	Pfam	2118827
FYV6	PF10187	FAM192A/Fyv6, N-terminal domain; FAM192A/Fyv6, N-terminal	29	106	Pfam	2125498
FYV7	PF08524	rRNA processing; Fyv7/TAP26	6	146	Pfam	2130711
FZF1	PF00096	Zinc finger, C2H2 type; Zinc finger C2H2-type	12	36	Pfam	2115079
FZF1	PF13894	C2H2-type zinc finger	73	94	Pfam	2115080
FZO1	PF00350	Dynamin family; Dynamin superfamily	190	370	Pfam	2118054
GAA1	PF04114	Gaa1-like, GPI transamidase component; GPI transamidase component Gaa1	117	595	Pfam	2119584
GAB1	PF06728	GPI transamidase subunit PIG-U	12	360	Pfam	2121919
GAC1	PF03370	Carbohydrate/starch-binding module (family 21); CBM21 (carbohydrate binding type-21) domain	238	359	Pfam	2103650
GAD1	PF00282	Pyridoxal-dependent decarboxylase conserved domain; Pyridoxal phosphate-dependent decarboxylase	70	412	Pfam	2127982
GAL1	PF00288	GHMP kinases N terminal domain; GHMP kinase N-terminal domain	156	225	Pfam	2106593
GAL1	PF08544	GHMP kinases C terminal; GHMP kinase, C-terminal domain	423	498	Pfam	2106594
GAL1	PF10509	Galactokinase galactose-binding signature; Galactokinase, N-terminal  domain	34	82	Pfam	2088887
GAL10	PF01263	Aldose 1-epimerase; Aldose 1-/Glucose-6-phosphate 1-epimerase	376	697	Pfam	2106620
GAL10	PF16363	GDP-mannose 4,6 dehydratase; NAD(P)-binding domain	15	343	Pfam	2106621
GAL11	PF05397	Mediator complex subunit 15; Mediator complex, subunit Med15, fungi	509	620	Pfam	2110847
GAL11	PF16987	KIX domain; Mediator complex subunit 15, KIX domain	9	85	Pfam	2102722
GAL11	PF18535	Gal11 activator-binding domain (ABD1); Gal11, coactivator domain	158	238	Pfam	2102720
GAL2	PF00083	Sugar (and other) transporter; Major facilitator,  sugar transporter-like	74	534	Pfam	2109525
GAL3	PF00288	GHMP kinases N terminal domain; GHMP kinase N-terminal domain	150	217	Pfam	2109480
GAL3	PF08544	GHMP kinases C terminal; GHMP kinase, C-terminal domain	415	490	Pfam	2109481
GAL3	PF10509	Galactokinase galactose-binding signature; Galactokinase, N-terminal  domain	29	76	Pfam	2109482
GAL4	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain; Zn(2)-C6 fungal-type DNA-binding domain	9	47	Pfam	2106608
GAL4	PF03902	Gal4-like dimerisation domain; Gal4 dimerisation domain	50	93	Pfam	2105099
GAL4	PF04082	Fungal specific transcription factor domain; Transcription factor domain, fungi	244	427	Pfam	2106609
GAL7	PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain; Galactose-1-phosphate uridyl transferase, N-terminal	6	192	Pfam	2107860
GAL7	PF02744	Galactose-1-phosphate uridyl transferase, C-terminal domain; Galactose-1-phosphate uridyl transferase, C-terminal	198	365	Pfam	2107861
GAL80	PF01408	Oxidoreductase family, NAD-binding Rossmann fold; Oxidoreductase, N-terminal	18	147	Pfam	2106616
GAL83	PF04739	5'-AMP-activated protein kinase beta subunit, interaction domain; Association with the SNF1 complex (ASC) domain	346	415	Pfam	2127932
GAL83	PF16561	Glycogen recognition site of AMP-activated protein kinase; AMP-activated protein kinase, glycogen-binding domain	163	246	Pfam	2127933
GAP1	PF00324	Amino acid permease; Amino acid permease/ SLC12A domain	94	558	Pfam	2110733
GAR1	PF04410	Gar1/Naf1 RNA binding region; H/ACA ribonucleoprotein complex, subunit Gar1/Naf1	25	137	Pfam	2113165
GAS1	PF03198	Glucanosyltransferase; Glucanosyltransferase	20	330	Pfam	2111447
GAS1	PF07983	X8 domain; X8 domain	378	452	Pfam	2111448
GAS2	PF03198	Glucanosyltransferase; Glucanosyltransferase	28	343	Pfam	2128545
GAS2	PF07983	X8 domain; X8 domain	405	471	Pfam	2128546
GAS3	PF03198	Glucanosyltransferase; Glucanosyltransferase	17	352	Pfam	2127144
GAS4	PF03198	Glucanosyltransferase; Glucanosyltransferase	17	335	Pfam	2129632
GAS5	PF03198	Glucanosyltransferase; Glucanosyltransferase	21	331	Pfam	2129556
GAT1	PF00320	GATA zinc finger; Zinc finger, GATA-type	310	343	Pfam	2122459
GAT1	PF08550	Fungal protein of unknown function (DUF1752); Nitrogen regulatory protein areA, GATA-like domain	58	85	Pfam	2122460
GAT2	PF00320	GATA zinc finger; Zinc finger, GATA-type	472	504	Pfam	2120926
GAT3	PF00320	GATA zinc finger; Zinc finger, GATA-type	72	104	Pfam	2129458
GAT4	PF00320	GATA zinc finger; Zinc finger, GATA-type	53	86	Pfam	2121568
GBP2	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	124	191	Pfam	2112618
GBP2	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	221	289	Pfam	2112619
GBP2	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	351	419	Pfam	2112620
GCD10	PF04189	Gcd10p family; tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	6	329	Pfam	2121988
GCD11	PF00009	Elongation factor Tu GTP binding domain; Translational (tr)-type GTP-binding domain	100	303	Pfam	2114314
GCD11	PF03144	Elongation factor Tu domain 2; Translation elongation factor EFTu-like, domain 2	335	417	Pfam	2114315
GCD11	PF09173	Initiation factor eIF2 gamma, C terminal; Initiation factor eIF2 gamma, C-terminal	429	517	Pfam	2114316
GCD14	PF08704	tRNA methyltransferase complex GCD14 subunit; tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14	72	362	Pfam	2122777
GCD2	PF01008	Initiation factor 2 subunit family; Initiation factor 2B-related	285	637	Pfam	2109421
GCD6	PF00132	Bacterial transferase hexapeptide (six repeats); Hexapeptide repeat	331	361	Pfam	2114398
GCD6	PF00132	Bacterial transferase hexapeptide (six repeats); Hexapeptide repeat	382	420	Pfam	2114399
GCD6	PF00483	Nucleotidyl transferase; Nucleotidyl transferase domain	30	156	Pfam	2114400
GCD6	PF02020	eIF4-gamma/eIF5/eIF2-epsilon; W2 domain	633	710	Pfam	2091867
GCD7	PF01008	Initiation factor 2 subunit family; Initiation factor 2B-related	33	358	Pfam	2114405
GCG1	PF04752	ChaC-like protein; Glutathione-specific gamma-glutamylcyclotransferase	8	231	Pfam	2114878
GCN1	PF12074	Generalcontrol nonderepressible 1 (Gcn1) N-terminal; Gcn1, N-terminal	391	475	Pfam	2115904
GCN1	PF12074	Generalcontrol nonderepressible 1 (Gcn1) N-terminal; Gcn1, N-terminal	546	670	Pfam	2115905
GCN2	PF00069	Protein kinase domain; Protein kinase domain	299	526	Pfam	2110004
GCN2	PF00069	Protein kinase domain; Protein kinase domain	599	669	Pfam	2092091
GCN2	PF00069	Protein kinase domain; Protein kinase domain	748	981	Pfam	2110005
GCN2	PF05773	RWD domain; RWD domain	13	125	Pfam	2110006
GCN2	PF12745	Anticodon binding domain of tRNAs; Histidyl tRNA synthetase-related domain	1387	1657	Pfam	2110007
GCN2	PF13393	Histidyl-tRNA synthetase; Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain	1076	1356	Pfam	2110008
GCN20	PF00005	ABC transporter; ABC transporter-like	215	396	Pfam	2122330
GCN20	PF00005	ABC transporter; ABC transporter-like	548	679	Pfam	2122331
GCN20	PF12848	ABC transporter; ABC-transporter extension domain	438	518	Pfam	2093488
GCN3	PF01008	Initiation factor 2 subunit family; Initiation factor 2B-related	17	292	Pfam	2109787
GCN4	PF07716	Basic region leucine zipper; Basic-leucine zipper domain	225	276	Pfam	2106393
GCN5	PF00439	Bromodomain; Bromodomain	337	418	Pfam	2126985
GCN5	PF00583	GNAT domain	151	226	Pfam	2126986
GCR1	PF12550	Transcriptional activator of glycolytic enzymes; Transcription activator GCR1-like domain	638	709	Pfam	2107519
GCS1	PF01412	Putative GTPase activating protein for Arf; Arf GTPase activating protein	14	117	Pfam	2090947
GCV1	PF01571	Aminomethyltransferase folate-binding domain; Aminomethyltransferase, folate-binding domain	21	280	Pfam	2123435
GCV1	PF08669	Glycine cleavage T-protein C-terminal barrel domain; Glycine cleavage T-protein, C-terminal barrel domain	312	392	Pfam	2090990
GCV2	PF02347	Glycine cleavage system P-protein; Glycine cleavage system P protein	69	511	Pfam	2123649
GCV2	PF02347	Glycine cleavage system P-protein; Glycine cleavage system P protein	542	800	Pfam	2123650
GCV3	PF01597	Glycine cleavage H-protein; Glycine cleavage system H-protein/Simiate	46	168	Pfam	2120091
GCY1	PF00248	Aldo/keto reductase family; NADP-dependent oxidoreductase domain	23	292	Pfam	2109705
GDA1	PF01150	GDA1/CD39 (nucleoside phosphatase) family; Nucleoside phosphatase GDA1/CD39	85	517	Pfam	2114808
GDB1	PF06202	Amylo-alpha-1,6-glucosidase; Glycogen debranching enzyme, C-terminal	1045	1523	Pfam	2128975
GDB1	PF14699	N-terminal domain from the human glycogen debranching enzyme; Eukaryotic glycogen debranching enzyme, N-terminal domain	47	134	Pfam	2128976
GDB1	PF14701	Glycogen debranching enzyme, glucanotransferase domain; Glycogen debranching enzyme, glucanotransferase domain	137	560	Pfam	2128977
GDB1	PF14702	Central domain of human glycogen debranching enzyme; Glycogen debranching enzyme, central domain	732	975	Pfam	2128978
GDE1	PF03009	Glycerophosphoryl diester phosphodiesterase family; Glycerophosphodiester phosphodiesterase domain	877	1211	Pfam	2126671
GDE1	PF03105	SPX domain; SPX domain	1	63	Pfam	2105298
GDE1	PF12796	Ankyrin repeats (3 copies); Ankyrin repeat-containing domain	543	624	Pfam	2126672
GDH1	PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	184	451	Pfam	2107520
GDH1	PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain; Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain	39	166	Pfam	2107521
GDH2	PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	714	986	Pfam	2115643
GDH3	PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	185	454	Pfam	2120017
GDH3	PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain; Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain	40	167	Pfam	2120018
GDI1	PF00996	GDP dissociation inhibitor; GDP dissociation inhibitor	7	446	Pfam	2120365
GDT1	PF01169	Uncharacterized protein family UPF0016; Gdt1 family	43	117	Pfam	2118059
GDT1	PF01169	Uncharacterized protein family UPF0016; Gdt1 family	195	268	Pfam	2118060
GEA1	PF01369	Sec7 domain; Sec7 domain	541	748	Pfam	2123122
GEA1	PF12783	Guanine nucleotide exchange factor in Golgi transport N-terminal; Guanine nucleotide exchange factor, N-terminal	332	474	Pfam	2123123
GEA2	PF01369	Sec7 domain; Sec7 domain	559	756	Pfam	2120545
GEA2	PF12783	Guanine nucleotide exchange factor in Golgi transport N-terminal; Guanine nucleotide exchange factor, N-terminal	339	493	Pfam	2120546
GEF1	PF00571	CBS domain; CBS domain	588	652	Pfam	2117116
GEF1	PF00571	CBS domain; CBS domain	685	736	Pfam	2117117
GEF1	PF00654	Voltage gated chloride channel; Chloride channel, voltage gated	167	547	Pfam	2097528
GEM1	PF00071	Ras family; Small GTPase	7	183	Pfam	2120070
GEM1	PF00071	Ras family; Small GTPase	452	609	Pfam	2120071
GEM1	PF08355	EF hand associated; EF hand associated, type-1	369	436	Pfam	2120072
GEM1	PF08356	EF hand associated; EF hand associated, type-2	264	331	Pfam	2120073
GEP3	PF01926	50S ribosome-binding GTPase; GTP binding domain	218	308	Pfam	2129701
GEP4	PF09419	Mitochondrial PGP phosphatase; PGP phosphatase, mitochondrial/chloroplastic	3	166	Pfam	2118925
GEP5	PF17053	Genetic interactor of prohibitin 5; Genetic interactor of prohibitin 5	11	248	Pfam	2099284
GET1	PF04420	CHD5-like protein; Get1 family	7	191	Pfam	2124498
GET2	PF08690	GET complex subunit GET2; GET complex subunit Get2/sif1	3	282	Pfam	2120734
GET3	PF02374	Anion-transporting ATPase; Anion-transporting ATPase-like domain	18	335	Pfam	2130428
GET4	PF04190	Protein of unknown function (DUF410); Golgi to ER traffic protein 4	46	308	Pfam	2130368
GEX1	PF07690	Major Facilitator Superfamily; Major facilitator superfamily	70	490	Pfam	2112683
GEX2	PF07690	Major Facilitator Superfamily; Major facilitator superfamily	70	490	Pfam	2117047
GFA1	PF01380	SIS domain; Sugar isomerase (SIS)	395	521	Pfam	2109789
GFA1	PF01380	SIS domain; Sugar isomerase (SIS)	565	699	Pfam	2109790
GFA1	PF13522	Glutamine amidotransferase domain	77	184	Pfam	2098758
GGA1	PF00790	VHS domain; VHS domain	17	161	Pfam	2128710
GGA1	PF02883	Adaptin C-terminal domain; Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain	444	552	Pfam	2128711
GGA1	PF03127	GAT domain; GAT domain	244	316	Pfam	2128712
GGA1	PF18308	GGA N-GAT domain; GGA, N-GAT domain	195	222	Pfam	2092025
GGA2	PF00790	VHS domain; VHS domain	23	165	Pfam	2118949
GGA2	PF02883	Adaptin C-terminal domain; Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain	473	583	Pfam	2118950
GGA2	PF03127	GAT domain; GAT domain	248	322	Pfam	2118951
GGC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	118	200	Pfam	2119438
GGC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	208	291	Pfam	2119439
GID10	PF09783	Vacuolar import and degradation protein; Vacuolar import/degradation protein Vid24	78	276	Pfam	2124626
GID11	PF10313	Uncharacterised protein domain (DUF2415); Domain of unknown function DUF2415	392	431	Pfam	2131792
GID7	PF00400	WD domain, G-beta repeat; WD40 repeat	660	687	Pfam	2112643
GID7	PF00400	WD domain, G-beta repeat; WD40 repeat	691	741	Pfam	2112644
GID8	PF10607	CTLH/CRA C-terminal to LisH motif domain; CTLH/CRA C-terminal to LisH motif domain	130	298	Pfam	2120922
GIM3	PF01920	Prefoldin subunit; Prefoldin beta-like	19	123	Pfam	2125468
GIM4	PF01920	Prefoldin subunit; Prefoldin beta-like	9	110	Pfam	2120571
GIM5	PF02996	Prefoldin subunit; Prefoldin alpha-like	24	141	Pfam	2127788
GIN4	PF00069	Protein kinase domain; Protein kinase domain	21	288	Pfam	2130748
GIN4	PF16797	Fungal kinase associated-1 domain; Fungal kinase associated-1 domain	1028	1140	Pfam	2130749
GIP2	PF03370	Carbohydrate/starch-binding module (family 21); CBM21 (carbohydrate binding type-21) domain	433	533	Pfam	2092789
GIR2	PF05773	RWD domain; RWD domain	5	155	Pfam	2127211
GIS1	PF02373	JmjC domain, hydroxylase; JmjC domain	192	307	Pfam	2127278
GIS1	PF02375	jmjN domain; JmjN domain	13	46	Pfam	2127279
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	5	21	Pfam	2125308
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	24	39	Pfam	2125309
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	48	63	Pfam	2125310
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	66	82	Pfam	2125311
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	93	109	Pfam	2125312
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	117	132	Pfam	2125313
GIS2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	136	152	Pfam	2125314
GIT1	PF00083	Sugar (and other) transporter; Major facilitator,  sugar transporter-like	45	466	Pfam	2112381
GLC3	PF00128	Alpha amylase, catalytic domain; Glycosyl hydrolase, family 13, catalytic domain	221	333	Pfam	2092609
GLC3	PF02806	Alpha amylase, C-terminal all-beta domain; Alpha-amylase/branching enzyme, C-terminal all beta	608	702	Pfam	2114970
GLC3	PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain); Glycoside hydrolase, family 13, N-terminal	62	149	Pfam	2092611
GLC7	PF00149	Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase domain, ApaH type	57	249	Pfam	2093093
GLC7	PF16891	Serine-threonine protein phosphatase N-terminal domain; Serine-threonine protein phosphatase, N-terminal	8	55	Pfam	2114693
GLC8	PF04979	Protein phosphatase inhibitor 2 (IPP-2); Protein phosphatase inhibitor 2 (IPP-2)	91	220	Pfam	2122001
GLD1	PF08508	Fungal domain of unknown function (DUF1746); Domain of unknown function DUF1746	34	230	Pfam	2128506
GLE1	PF07817	GLE1-like protein; GLE1-like	259	499	Pfam	2130885
GLE2	PF00400	WD domain, G-beta repeat; WD40 repeat	38	65	Pfam	2120749
GLE2	PF00400	WD domain, G-beta repeat; WD40 repeat	77	108	Pfam	2120750
GLE2	PF00400	WD domain, G-beta repeat; WD40 repeat	134	153	Pfam	2120751
GLE2	PF00400	WD domain, G-beta repeat; WD40 repeat	267	297	Pfam	2120752
GLG1	PF01501	Glycosyl transferase family 8; Glycosyl transferase, family 8	9	258	Pfam	2116984
GLG2	PF01501	Glycosyl transferase family 8; Glycosyl transferase, family 8	8	260	Pfam	2122881
GLK1	PF00349	Hexokinase; Hexokinase, N-terminal	18	228	Pfam	2110505
GLK1	PF03727	Hexokinase; Hexokinase, C-terminal	246	499	Pfam	2110506
GLN1	PF00120	Glutamine synthetase, catalytic domain; Glutamine synthetase, catalytic domain	120	257	Pfam	2105156
GLN1	PF03951	Glutamine synthetase, beta-Grasp domain; Glutamine synthetase, beta-Grasp domain	26	100	Pfam	2113820
GLN3	PF00320	GATA zinc finger; Zinc finger, GATA-type	306	340	Pfam	2110624
GLN4	PF00749	tRNA synthetases class I (E and Q), catalytic domain; Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain	251	564	Pfam	2109549
GLN4	PF03950	tRNA synthetases class I (E and Q), anti-codon binding domain; Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain	568	746	Pfam	2109550
GLN4	PF04557	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2; Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2	166	244	Pfam	2103751
GLN4	PF04558	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1; Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal	5	163	Pfam	2109551
GLO1	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily; Glyoxalase/fosfomycin resistance/dioxygenase domain	23	164	Pfam	2123824
GLO1	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily; Glyoxalase/fosfomycin resistance/dioxygenase domain	183	319	Pfam	2123825
GLO2	PF00753	Metallo-beta-lactamase superfamily; Metallo-beta-lactamase	15	165	Pfam	2092771
GLO2	PF16123	Hydroxyacylglutathione hydrolase C-terminus; Hydroxyacylglutathione hydrolase, C-terminal domain	189	273	Pfam	2128239
